movie_genre,movie_rating,movie_title,movie_year
Adventure,6.6 / 10,Pirates of the Caribbean: Dead Men Tell No Tales,2017
Romance,6.6 / 10,Kong: Skull Island,2017
Action,4.1 / 10,Fifty Shades of Grey,2015
Action,6.3 / 10,Escape Room,2019
Adventure,7.3 / 10,The Shape of Water,2017
Action,7.1 / 10,Sicario: Day of the Soldado,2018
Adventure,6.7 / 10,Alpha,2018
Action,5.5 / 10,Resident Evil: The Final Chapter,2016
Horror,6.9 / 10,Cinderella,2015
Comedy,7.9 / 10,Arrival,2016
Action,7.9 / 10,Dunkirk,2017
Adventure,5.7 / 10,Assassin's Creed,2016
Action,6.9 / 10,The Magnificent Seven,2016
Action,7.6 / 10,John Wick: Chapter 3 - Parabellum,2019
Adventure,7.1 / 10,Deepwater Horizon,2016
Animation,8.2 / 10,The Wolf of Wall Street,2013
Action,8 / 10,The Martian,2015
Adventure,7.1 / 10,Sing,2016
Drama,5.6 / 10,Pacific Rim: Uprising,2018
Action,4.6 / 10,Fifty Shades Darker,2017
Adventure,5.9 / 10,The Great Wall,2016
Adventure,6.9 / 10,Game Night,2018
Adventure,7.3 / 10,First Man,2018
Action,7.8 / 10,Captain America: Civil War,2016
Adventure,7.1 / 10,American Made,2017
Action,5.6 / 10,Men in Black: International,2019
Biography,9 / 10,The Dark Knight,2008
Adventure,5.5 / 10,Baywatch,2017
Adventure,7.1 / 10,Shazam!,2019
Family,6.2 / 10,Johnny English Strikes Again,2018
Action,6.1 / 10,Jack Reacher: Never Go Back,2016
Action,6.6 / 10,Home,2015
Adventure,6.8 / 10,Bumblebee,2018
Adventure,7 / 10,Thor,2011
Family,8.5 / 10,The Lion King,1994
Animation,7.5 / 10,John Wick: Chapter 2,2017
Adventure,6.1 / 10,Mortal Engines,2018
Action,7.3 / 10,The Accountant,2016
Action,7.1 / 10,Ralph Breaks the Internet,2018
Crime,7.9 / 10,Toy Story 4,2019
Action,7.5 / 10,Frozen,2013
Action,6.7 / 10,The Equalizer 2,2018
Adventure,7.3 / 10,Split,2016
Drama,6.2 / 10,Insurgent,2015
Action,6.3 / 10,Despicable Me 3,2017
Adventure,7.3 / 10,Avengers: Age of Ultron,2015
Drama,5.2 / 10,The 5th Wave,2016
Drama,7.7 / 10,Kingsman: The Secret Service,2014
Mystery,8.4 / 10,Coco,2017
Adventure,6.2 / 10,Ocean's Eight,2018
Action,7.3 / 10,The Lego Batman Movie,2017
